1    942833  0.6162809927079057  1647983  0.6518751883851134
174  aaocgkctbfobvzsadr  0  3.268238733073792e-07  2  9.888982328784137e-07
175  aaok  0  3.268238733073792e-07  1  5.933389397270483e-07
176  aap  0  3.268238733073792e-07  2  9.888982328784137e-07
177  aapa  0  3.268238733073792e-07  1  5.933389397270483e-07
178  aapl  1  9.804716199221375e-07  0  1.9777964657568277e-07
179  aaqjaa  1  9.804716199221375e-07  0  1.9777964657568277e-07
180  aaqnf  0  3.268238733073792e-07  1  5.933389397270483e-07
181  aaqskzj  0  3.268238733073792e-07  1  5.933389397270483e-07
182  aaqskzjrgabaaeasabiaad  0  3.268238733073792e-07  2  9.888982328784137e-07
183  aaqskzjrgabagaazabkaad  0  3.268238733073792e-07  1  5.933389397270483e-07
184  aaqskzjrgabageasabiaad  0  3.268238733073792e-07  3  1.3844575260297793e-06
185  aaqskzjrgabageazabkaad  0  3.268238733073792e-07  1  5.933389397270483e-07
186  aaqskzjrgabageblaesaad  0  3.268238733073792e-07  1  5.933389397270483e-07
187  aaqskzjrgabaqeasabiaad  0  3.268238733073792e-07  2  9.888982328784137e-07
188  aaqskzjrgabaqeayabgaad  1  9.804716199221375e-07  5  2.17557611233251e-06
189  aaqskzjrgabaqeayadiaad  0  3.268238733073792e-07  1  5.933389397270483e-07
190  aaqzghnbbpvcymgdqn  0  3.268238733073792e-07  1  5.933389397270483e-07
191  aardvark  1  9.804716199221375e-07  0  1.9777964657568277e-07
192  aaron  0  3.268238733073792e-07  8  3.362253991786607e-06
193  aarp  1  9.804716199221375e-07  0  1.9777964657568277e-07
194  aarrhvja  0  3.268238733073792e-07  1  5.933389397270483e-07
195  aartis  0  3.268238733073792e-07  5  2.17557611233251e-06
196  aas  2  1.6341193665368958e-06  3  1.3844575260297793e-06
197  aashtyyhscwxj  0  3.268238733073792e-07  1  5.933389397270483e-07
198  aashww  0  3.268238733073792e-07  1  5.933389397270483e-07
199  aastavast  0  3.268238733073792e-07  3  1.3844575260297793e-06
200  aasvtobi  0  3.268238733073792e-07  1  5.933389397270483e-07
201  aatl  0  3.268238733073792e-07  2  9.888982328784137e-07
202  aaustin  0  3.268238733073792e-07  3  1.3844575260297793e-06
203  aav  0  3.268238733073792e-07  1  5.933389397270483e-07
204  aavcwavmyaz  0  3.268238733073792e-07  1  5.933389397270483e-07
205  aawihv  0  3.268238733073792e-07  1  5.933389397270483e-07
206  aax  1  9.804716199221375e-07  4  1.7800168191811448e-06
207  aay  0  3.268238733073792e-07  1  5.933389397270483e-07
208  aayaaaaaaaeamgaaaaeawgaaaayaaaaaaaeanqaaaaealqaaaayaaaaaaae  0  3.268238733073792e-07  1  5.933389397270483e-07
209  aaycc  0  3.268238733073792e-07  1  5.933389397270483e-07
210  aayeyyju  0  3.268238733073792e-07  1  5.933389397270483e-07
211  aayjwf  0  3.268238733073792e-07  1  5.933389397270483e-07
212  aaz  1  9.804716199221375e-07  0  1.9777964657568277e-07
213  aazesqbzzhobzkdvytnmrk  0  3.268238733073792e-07  1  5.933389397270483e-07
214  aazxini  0  3.268238733073792e-07  1  5.933389397270483e-07
215  ab  59  3.889204092357812e-05  264  0.00010462543303853618
216  aba  0  3.268238733073792e-07  2  9.888982328784137e-07
217  abaaaaabaaacqaaaakaaaaaaoejjtqqedvvstcbvdmvycmlkzxmaaaaeaaaaadhcsu  0  3.268238733073792e-07  1  5.933389397270483e-07
218  abaae  0  3.268238733073792e-07  1  5.933389397270483e-07
219  abaaf  0  3.268238733073792e-07  1  5.933389397270483e-07
220  abaah  0  3.268238733073792e-07  1  5.933389397270483e-07
221  ababa  1  9.804716199221375e-07  0  1.9777964657568277e-07
222  abababababababababababababababababababababababababababababa  0  3.268238733073792e-07  1  5.933389397270483e-07
223  ababababababababababababababababababababababababababababababababababababahpw  0  3.268238733073792e-07  1  5.933389397270483e-07
224  abacha  0  3.268238733073792e-07  44  1.7602388545235765e-05
225  abae  1  9.804716199221375e-07  0  1.9777964657568277e-07
226  abaf  0  3.268238733073792e-07  13  5.340050457543434e-06
227  abah  0  3.268238733073792e-07  1  5.933389397270483e-07
228  abailey  0  3.268238733073792e-07  1  5.933389397270483e-07
229  aban  0  3.268238733073792e-07  5  2.17557611233251e-06
230  abandon  0  3.268238733073792e-07  1  5.933389397270483e-07
231  abandoned  3  2.287767113151654e-06  10  4.153372578089338e-06
232  abarb  0  3.268238733073792e-07  2  9.888982328784137e-07
233  abastecimientos  0  3.268238733073792e-07  1  5.933389397270483e-07
234  abatement  0  3.268238733073792e-07  2  9.888982328784137e-07
235  abb  2  1.6341193665368958e-06  0  1.9777964657568277e-07
236  abbc  0  3.268238733073792e-07  1  5.933389397270483e-07
237  abbec  1  9.804716199221375e-07  0  1.9777964657568277e-07
238  abbey  0  3.268238733073792e-07  3  1.3844575260297793e-06
239  abbeypaige  0  3.268238733073792e-07  3  1.3844575260297793e-06
240  abbf  0  3.268238733073792e-07  2  9.888982328784137e-07
241  abbkbgig  0  3.268238733073792e-07  1  5.933389397270483e-07
242  abbp  0  3.268238733073792e-07  1  5.933389397270483e-07
243  abby  0  3.268238733073792e-07  1  5.933389397270483e-07
244  abbyman  0  3.268238733073792e-07  4  1.7800168191811448e-06
245  abbztmgf  1  9.804716199221375e-07  0  1.9777964657568277e-07
246  abc  1  9.804716199221375e-07  3  1.3844575260297793e-06
247  abcadc  0  3.268238733073792e-07  1  5.933389397270483e-07
248  abcd  0  3.268238733073792e-07  4  1.7800168191811448e-06
249  abcn  1  9.804716199221375e-07  0  1.9777964657568277e-07
250  abcqojps  1  9.804716199221375e-07  0  1.9777964657568277e-07
251  abcrce  0  3.268238733073792e-07  1  5.933389397270483e-07
252  abcwijs  0  3.268238733073792e-07  1  5.933389397270483e-07
253  abd  2  1.6341193665368958e-06  3  1.3844575260297793e-06
254  abda  1  9.804716199221375e-07  0  1.9777964657568277e-07
255  abdce  1  9.804716199221375e-07  0  1.9777964657568277e-07
256  abdq  0  3.268238733073792e-07  1  5.933389397270483e-07
257  abducted  3  2.287767113151654e-06  0  1.9777964657568277e-07
258  abductee  1  9.804716199221375e-07  0  1.9777964657568277e-07
259  abductees  2  1.6341193665368958e-06  0  1.9777964657568277e-07
260  abduction  2  1.6341193665368958e-06  0  1.9777964657568277e-07
261  abdul  1  9.804716199221375e-07  0  1.9777964657568277e-07
262  abdullah  3  2.287767113151654e-06  0  1.9777964657568277e-07
263  abe  0  3.268238733073792e-07  11  4.548931871240704e-06
264  abehli  0  3.268238733073792e-07  1  5.933389397270483e-07
265  abel  0  3.268238733073792e-07  2  9.888982328784137e-07
266  aberger  0  3.268238733073792e-07  1  5.933389397270483e-07
267  abf  0  3.268238733073792e-07  3  1.3844575260297793e-06
268  abfdbe  1  9.804716199221375e-07  0  1.9777964657568277e-07
269  abfp  1  9.804716199221375e-07  0  1.9777964657568277e-07
270  abfvefrbibzn  0  3.268238733073792e-07  1  5.933389397270483e-07
271  abg  0  3.268238733073792e-07  2  9.888982328784137e-07
272  abgaaf  0  3.268238733073792e-07  1  5.933389397270483e-07
273  abgon  0  3.268238733073792e-07  3  1.3844575260297793e-06
274  abguui  0  3.268238733073792e-07  1  5.933389397270483e-07
275  abgux  0  3.268238733073792e-07  1  5.933389397270483e-07
276  abh  0  3.268238733073792e-07  14  5.7356097506948e-06
277  abhlb  1  9.804716199221375e-07  0  1.9777964657568277e-07
278  abhmoqc  0  3.268238733073792e-07  1  5.933389397270483e-07
279  abhzlyezalbx  0  3.268238733073792e-07  1  5.933389397270483e-07
280  abide  1  9.804716199221375e-07  0  1.9777964657568277e-07
281  abidjan  0  3.268238733073792e-07  4  1.7800168191811448e-06
282  abidkazi  0  3.268238733073792e-07  4  1.7800168191811448e-06
283  abili  0  3.268238733073792e-07  1  5.933389397270483e-07
284  abilities  1  9.804716199221375e-07  1  5.933389397270483e-07
285  ability  16  1.0785187819143512e-05  53  2.1162422183598053e-05
286  abilitys  0  3.268238733073792e-07  1  5.933389397270483e-07
287  abiola  0  3.268238733073792e-07  3  1.3844575260297793e-06
288  abit  0  3.268238733073792e-07  2  9.888982328784137e-07
289  abiword  1  9.804716199221375e-07  0  1.9777964657568277e-07
290  abj  0  3.268238733073792e-07  1  5.933389397270483e-07
291  abject  6  4.248710352995929e-06  0  1.9777964657568277e-07
292  abk  0  3.268238733073792e-07  2  9.888982328784137e-07
293  abkn  0  3.268238733073792e-07  1  5.933389397270483e-07
294  abkromqfclgiqdtgfezgbbz  0  3.268238733073792e-07  1  5.933389397270483e-07
295  abl  0  3.268238733073792e-07  8  3.362253991786607e-06
296  able  95  6.242335980170942e-05  147  5.834499573982641e-05
297  ablesing  0  3.268238733073792e-07  3  1.3844575260297793e-06
298  ablumhxbpqc  0  3.268238733073792e-07  1  5.933389397270483e-07
299  ably  0  3.268238733073792e-07  5  2.17557611233251e-06
300  abmk  0  3.268238733073792e-07  1  5.933389397270483e-07
301  abmwqpigjoqczwdu  0  3.268238733073792e-07  1  5.933389397270483e-07
302  abmzdhviomlyx  0  3.268238733073792e-07  1  5.933389397270483e-07
303  abnbvaw  0  3.268238733073792e-07  1  5.933389397270483e-07
304  abnegate  0  3.268238733073792e-07  4  1.7800168191811448e-06
305  abnormal  0  3.268238733073792e-07  2  9.888982328784137e-07
306  abnormality  0  3.268238733073792e-07  1  5.933389397270483e-07
307  abnormally  2  1.6341193665368958e-06  0  1.9777964657568277e-07
308  abns  1  9.804716199221375e-07  0  1.9777964657568277e-07
309  abnutzzpkumdtycwdb  0  3.268238733073792e-07  1  5.933389397270483e-07
310  abo  0  3.268238733073792e-07  12  4.944491164392069e-06
311  aboard  0  3.268238733073792e-07  1  5.933389397270483e-07
312  abocilqgsmyx  0  3.268238733073792e-07  1  5.933389397270483e-07
313  abode  2  1.6341193665368958e-06  0  1.9777964657568277e-07
314  aboetius  2  1.6341193665368958e-06  0  1.9777964657568277e-07
315  aboggs  0  3.268238733073792e-07  1  5.933389397270483e-07
316  aboinanx  0  3.268238733073792e-07  2  9.888982328784137e-07
317  aboli  1  9.804716199221375e-07  0  1.9777964657568277e-07
318  abolish  0  3.268238733073792e-07  1  5.933389397270483e-07
319  abolished  1  9.804716199221375e-07  0  1.9777964657568277e-07
320  abominations  1  9.804716199221375e-07  0  1.9777964657568277e-07
321  aborigines  1  9.804716199221375e-07  0  1.9777964657568277e-07
322  aborted  1  9.804716199221375e-07  0  1.9777964657568277e-07
323  aborting  3  2.287767113151654e-06  0  1.9777964657568277e-07
324  abortion  2  1.6341193665368958e-06  0  1.9777964657568277e-07
325  abou  0  3.268238733073792e-07  4  1.7800168191811448e-06
326  abound  1  9.804716199221375e-07  0  1.9777964657568277e-07
327  about  552  0.00036114038000465397  615  0.00024346674493466548
328  above  68  4.4774870643110946e-05  118  4.687377623843681e-05
329  abpmeamaw  0  3.268238733073792e-07  1  5.933389397270483e-07
330  abpsjicpeuwapyukfrkjktecqyrb  0  3.268238733073792e-07  1  5.933389397270483e-07
331  abpsp  0  3.268238733073792e-07  1  5.933389397270483e-07
332  abpx  0  3.268238733073792e-07  1  5.933389397270483e-07
333  abq  0  3.268238733073792e-07  1  5.933389397270483e-07
334  abqewvbgf  0  3.268238733073792e-07  4  1.7800168191811448e-06
335  abqhbmyjpsd  0  3.268238733073792e-07  1  5.933389397270483e-07
336  abqraqaaaaaaaaaaaaaaaaaaaed  0  3.268238733073792e-07  1  5.933389397270483e-07
337  abqzk  0  3.268238733073792e-07  1  5.933389397270483e-07
338  abra  0  3.268238733073792e-07  1  5.933389397270483e-07
339  abraham  1  9.804716199221375e-07  0  1.9777964657568277e-07
340  abridging  0  3.268238733073792e-07  1  5.933389397270483e-07
341  abrna  0  3.268238733073792e-07  1  5.933389397270483e-07
342  abroad  2  1.6341193665368958e-06  4  1.7800168191811448e-06
343  abrown  0  3.268238733073792e-07  1  5.933389397270483e-07
344  abrtlegv  0  3.268238733073792e-07  1  5.933389397270483e-07
345  abruka  0  3.268238733073792e-07  1  5.933389397270483e-07
346  abruptly  1  9.804716199221375e-07  0  1.9777964657568277e-07
347  abs  1  9.804716199221375e-07  2  9.888982328784137e-07
348  absa  0  3.268238733073792e-07  1  5.933389397270483e-07
349  absanni  0  3.268238733073792e-07  1  5.933389397270483e-07
350  absbottom  1  9.804716199221375e-07  1  5.933389397270483e-07
351  absence  5  3.595062606381171e-06  0  1.9777964657568277e-07
352  absent  1  9.804716199221375e-07  0  1.9777964657568277e-07
353  absglobal  1  9.804716199221375e-07  0  1.9777964657568277e-07
354  abskyqgucgedg  0  3.268238733073792e-07  1  5.933389397270483e-07
355  absmiddle  0  3.268238733073792e-07  2  9.888982328784137e-07
356  abso  0  3.268238733073792e-07  3  1.3844575260297793e-06
